"filename", "language", "JavaScript", "JSON with Comments", "JSON", "XML", "JavaScript JSX", "Markdown", "CSS", "comment", "blank", "total"
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/components/LoginForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 5, 68
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/components/LoginFormTeacher.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 5, 68
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/components/RegisterForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 92, 0, 0, 0, 9, 101
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/components/RegisterFormTeacher.jsx", "JavaScript JSX", 0, 0, 0, 0, 92, 0, 0, 0, 7, 99
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 7, 1, 8
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/lib/db.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/lib/model/studentenrollments.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/lib/model/studentuser.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 1, 51
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/lib/model/teacherform.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 8, 2, 50
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/lib/model/teacheruser.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/middleware.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/next.config.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 1, 2, 5
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/package-lock.json", "JSON", 0, 0, 2795, 0, 0, 0, 0, 0, 1, 2796
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/package.json", "JSON", 0, 0, 31, 0, 0, 0, 0, 0, 1, 32
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/public/next.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/public/vercel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/tailwind.config.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 1, 1, 19
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/tsconfig.json", "JSON with Comments", 0, 39, 0, 0, 0, 0, 0, 0, 1, 40
"Total", "-", 462, 39, 2826, 2, 1411, 24, 6, 466, 279, 5515
