"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Markdown", "JavaScript JSX", "CSS", "TypeScript", "XML", "comment", "blank", "total"
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/lib/model/teacherform.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/middleware.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/next.config.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/package-lock.json", "JSON", 0, 2676, 0, 0, 0, 0, 0, 0, 0, 1, 2677
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/package.json", "JSON", 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 31
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/public/next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/tailwind.config.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 1, 19
"/Users/rudreshpandey/Desktop/WebD/Working/schoolz/tsconfig.json", "JSON with Comments", 0, 0, 39, 0, 0, 0, 0, 0, 0, 1, 40
"Total", "-", 324, 2706, 39, 24, 728, 6, 2, 2, 77, 144, 4052
